0	7	2	-1	16	10	12	10	-1	40	44	25	44	50	24	-1	47	22	38	-1
7	0	11	16	19	-1	12	4	38	36	23	40	48	50	27	42	34	38	34	24
2	11	0	8	12	25	22	12	27	34	44	44	-1	22	27	43	33	37	20	33
-1	16	8	0	15	33	2	14	8	38	-1	25	29	22	24	45	45	29	20	38
16	19	12	15	0	28	19	25	15	-1	27	22	-1	24	23	42	42	31	-1	48
10	-1	25	33	28	0	13	5	3	-1	23	20	48	23	33	20	45	30	28	27
12	12	22	2	19	13	0	11	24	3	24	49	43	42	-1	21	27	50	29	45
10	4	12	14	25	5	11	0	26	27	-1	37	44	27	48	40	38	45	49	48
-1	38	27	8	15	3	24	26	0	-1	23	49	28	28	28	38	44	49	21	-1
40	36	34	38	-1	-1	3	27	-1	0	-1	26	38	50	42	40	28	29	-1	36
44	23	44	-1	27	23	24	-1	23	-1	0	25	24	26	24	10	12	10	-1	40
25	40	44	25	22	20	49	37	49	26	25	0	11	7	5	-1	12	4	38	36
44	48	-1	29	-1	48	43	44	28	38	24	11	0	-1	-1	25	22	12	27	34
50	50	22	22	24	23	42	27	28	50	26	7	-1	0	3	33	2	14	8	38
24	27	27	24	23	33	-1	48	28	42	24	5	-1	3	0	28	19	25	15	-1
-1	42	43	45	42	20	21	40	38	40	10	-1	25	33	28	0	11	8	3	4
47	34	33	45	30	45	27	38	44	28	12	12	22	2	19	11	0	29	27	11
22	38	37	29	31	30	50	45	49	29	10	4	12	14	25	8	29	0	12	25
38	34	20	20	-1	28	29	49	21	-1	-1	38	27	8	15	3	27	12	0	10
-1	24	33	38	48	27	45	48	-1	36	40	36	34	38	-1	4	11	25	10	0
